"","x","z"
"457",7,10
"458",8,10
"459",9,10
"460",10,10
"461",11,10
"462",12,10
"463",13,10
"464",14,10
"465",15,10
"466",16,10
"467",17,10
"468",18,10
"469",19,10
"470",20,10
"471",21,10
"472",22,10
"473",23,10
"474",24,10
"475",25,10
"476",26,10
"477",27,10
"478",28,10
"479",29,10
"480",30,10
"481",31,10
"482",32,10
"483",33,10
"484",34,10
"485",35,10
"486",36,10
"487",37,10
"488",38,10
"489",39,10
"490",40,10
"491",41,10
"492",42,10
"493",43,10
"494",44,10
"495",45,10
"496",46,10
"497",47,10
"498",48,10
"499",49,10
"500",50,10
"501",1,11
"502",2,11
"503",3,11
"504",4,11
"505",5,11
"506",6,11
"507",7,11
"508",8,11
"509",9,11
"510",10,11
"511",11,11
"512",12,11
"513",13,11
"514",14,11
"515",15,11
"516",16,11
"517",17,11
"518",18,11
"519",19,11
"520",20,11
"521",21,11
"522",22,11
"523",23,11
"524",24,11
"525",25,11
"526",26,11
"527",27,11
"528",28,11
"529",29,11
"530",30,11
"531",31,11
"532",32,11
"533",33,11
"534",34,11
"535",35,11
"536",36,11
"537",37,11
"538",38,11
"539",39,11
"540",40,11
"541",41,11
"542",42,11
"543",43,11
"544",44,11
"545",45,11
"546",46,11
"547",47,11
"548",48,11
"549",49,11
"550",50,11
"551",1,12
"552",2,12
"553",3,12
"554",4,12
"555",5,12
"556",6,12
"557",7,12
"558",8,12
"559",9,12
"560",10,12
"561",11,12
"562",12,12
"563",13,12
"564",14,12
"565",15,12
"566",16,12
"567",17,12
"568",18,12
"569",19,12
"570",20,12
"571",21,12
"572",22,12
"573",23,12
"574",24,12
"575",25,12
"576",26,12
"577",27,12
"578",28,12
"579",29,12
"580",30,12
"581",31,12
"582",32,12
"583",33,12
"584",34,12
"585",35,12
"586",36,12
"587",37,12
"588",38,12
"589",39,12
"590",40,12
"591",41,12
"592",42,12
"593",43,12
"594",44,12
"595",45,12
"596",46,12
"597",47,12
"598",48,12
"599",49,12
"600",50,12
"601",1,13
"602",2,13
"603",3,13
"604",4,13
"605",5,13
"606",6,13
"607",7,13
"608",8,13
"609",9,13
"610",10,13
"611",11,13
"612",12,13
"613",13,13
"614",14,13
"615",15,13
"616",16,13
"617",17,13
"618",18,13
"619",19,13
"620",20,13
"621",21,13
"622",22,13
"623",23,13
"624",24,13
"625",25,13
"626",26,13
"627",27,13
"628",28,13
"629",29,13
"630",30,13
"631",31,13
"632",32,13
"633",33,13
"634",34,13
"635",35,13
"636",36,13
"637",37,13
"638",38,13
"639",39,13
"640",40,13
"641",41,13
"642",42,13
"643",43,13
"644",44,13
"645",45,13
"646",46,13
"647",47,13
"648",48,13
"649",49,13
"650",50,13
"651",1,14
"652",2,14
"653",3,14
"654",4,14
"655",5,14
"656",6,14
"657",7,14
"658",8,14
"659",9,14
"660",10,14
"661",11,14
"662",12,14
"663",13,14
"664",14,14
"665",15,14
"666",16,14
"667",17,14
"668",18,14
"669",19,14
"670",20,14
"671",21,14
"672",22,14
"673",23,14
"674",24,14
"675",25,14
"676",26,14
"677",27,14
"678",28,14
"679",29,14
"680",30,14
"681",31,14
"682",32,14
"683",33,14
"684",34,14
"685",35,14
"686",36,14
"687",37,14
"688",38,14
"689",39,14
"690",40,14
"691",41,14
"692",42,14
"693",43,14
"694",44,14
"695",45,14
"696",46,14
"697",47,14
"698",48,14
"699",49,14
"700",50,14
"701",1,15
"702",2,15
"703",3,15
"704",4,15
"705",5,15
"706",6,15
"707",7,15
"708",8,15
"709",9,15
"710",10,15
"711",11,15
"712",12,15
"713",13,15
"714",14,15
"715",15,15
"716",16,15
"717",17,15
"718",18,15
"719",19,15
"720",20,15
"721",21,15
"722",22,15
"723",23,15
"724",24,15
"725",25,15
"726",26,15
"727",27,15
"728",28,15
"729",29,15
"730",30,15
"731",31,15
"732",32,15
"733",33,15
"734",34,15
"735",35,15
"736",36,15
"737",37,15
"738",38,15
"739",39,15
"740",40,15
"741",41,15
"742",42,15
"743",43,15
"744",44,15
"745",45,15
"746",46,15
"747",47,15
"748",48,15
"749",49,15
"750",50,15
"751",1,16
"752",2,16
"753",3,16
"754",4,16
"755",5,16
"756",6,16
"757",7,16
"758",8,16
"759",9,16
"760",10,16
"761",11,16
"762",12,16
"763",13,16
"764",14,16
"765",15,16
"766",16,16
"767",17,16
"768",18,16
"769",19,16
